jobID,Calc,Real,Guess,pNFound,GuessDiff,CalcDiff
2150,5,6,2.84,80%,53%,17%
44963,6,6,2.57,80%,57%,0%
23322,12.83,40,17.06,80%,57%,68%
6989,4,2,3.16,80%,58%,100%
22027,8,4,1.62,80%,60%,100%
4662,3,2,3.2,80%,60%,50%
23284,4.5,12,4.23,80%,65%,63%
28040,30,8,2.72,80%,66%,275%
35702,16,9,2.35,80%,74%,78%
46519,38,10,2.51,80%,75%,280%
36721,8,11,2.73,80%,75%,27%
29552,6,12,2.5,80%,79%,50%
15462,48.5,19,3.45,80%,82%,155%
6426,70,35,3.48,80%,90%,100%
14283,48.5,119,2.95,80%,98%,59%
25656,3.5,1,2.22,80%,122%,250%
7199,4,1,2.38,80%,138%,300%
17396,3,5,12.19,80%,144%,40%
17982,14,9,23.4,80%,160%,56%
12111,1,1,2.81,80%,181%,0%
6997,3.5,1,2.88,80%,188%,250%
27270,2,11,7.17,81%,35%,82%
5059,29,11,5.86,81%,47%,164%
38865,110,63,3.4,81%,95%,75%
26629,3,4,3.95,82%,1%,25%
45413,21,3,3.29,82%,10%,600%
43127,4,5,3.89,82%,22%,20%
6665,2,5,2.62,82%,48%,60%
28696,17,18,9.43,82%,48%,6%
12151,15.3,20,9.5,82%,53%,24%
38932,2.5,10,4.05,82%,60%,75%
6577,5,13,4.92,82%,62%,62%
2060,98,23,7.13,82%,69%,326%
2881,18,15,4.45,82%,70%,20%
33292,22,14,4.05,82%,71%,57%
16558,40,93,4.01,82%,96%,57%
17366,103,33,0,82%,100%,212%
31098,2.2,2,4.72,82%,136%,10%
34579,18,4,11.27,82%,182%,350%
49289,20.5,7,6.94,83%,1%,193%
23409,23,155,159.62,83%,3%,85%
43701,15,6,5.76,83%,4%,150%
14634,3,7,7.89,83%,13%,57%
23313,4.5,4,3.28,83%,18%,13%
21764,29.5,3,3.98,83%,33%,883%
16244,6,7,4.68,83%,33%,14%
2155,95,86,56.48,83%,34%,10%
25337,7.5,7,4.05,83%,42%,7%
26024,6,5,2.89,83%,42%,20%
9185,6,4,5.71,83%,43%,50%
7171,1.9,43,24.06,83%,44%,96%
45983,17,6,3.04,83%,49%,183%
19273,8,7,3.08,83%,56%,14%
25901,17,24,8.55,83%,64%,29%
43368,50,8,2.79,83%,65%,525%
32205,8.95,8,2.44,83%,70%,12%
1905,60,57,16.06,83%,72%,5%
18015,75,92,12.44,83%,86%,18%
16713,40,56,3.29,83%,94%,29%
25286,24,62,3.32,83%,95%,61%
19562,6,3,0,83%,100%,100%
37515,7.5,8,0,83%,100%,6%
1832,4,9,0,83%,100%,56%
18265,138,26,0,83%,100%,431%
5388,2.5,1,3.03,83%,203%,150%
19572,2.55,1,3.15,83%,215%,155%
28701,9,1,3.99,83%,299%,800%
40449,51,232,256,84%,10%,78%
1791,6,6,7.57,84%,26%,0%
10764,23.24,36,9.85,84%,73%,35%
17328,8,35,5.51,84%,84%,77%
16687,2.5,68,185.55,84%,173%,96%
