jobID,Real,Guess,Calc,pFound,len
62810,55.0,9.36,13.5,0.2,30
62710,3.5,0.52,2.0,0.25,4
62813,19.5,0.236,7.5,0.06,32
62854,4.0,0.0,2.0,0.0,5
62873,45.0,74.38,1.0,0.56,68
62887,64.0,30.5,8.5,0.38,24
34571,54.5,42.68,69.0,0.28,36
62897,1.5,3.96,2.0,0.2,5
62976,4.0,0.0,3.0,0.0,2
61856,3.0,8.2,6.0,0.12,8
63033,14.5,2.1,18.0,0.25,4
63074,19.0,6.2,15.0,0.1,20
49129,23.0,25.546,37.5,0.19,62
63165,10.0,2.96,5.0,0.17,6
30958,41.5,50.72,48.0,0.39,98
63208,12.5,1.52,35.0,0.33,15
45432,1.5,0.0,1.5,0.0,1
63309,3.5,0.0,3.0,0.0,4
63337,39.5,63.2,54.0,0.46,35
63339,25.0,3.224,28.0,0.09,34
63392,18.0,0.0,16.0,0.0,9
63432,10.0,13.28,6.5,0.23,31
63440,4.0,0.0,4.0,0.0,5
63616,1.5,0.0,1.5,0.0,1
48272,8.0,0.24,40.0,0.2,5
61959,27.5,9.8,37.0,0.24,33
63751,32.0,12.72,32.69,0.16,55
63752,29.0,0.16,15.3,0.05,38
63757,3.0,0.0,1.5,0.0,1
63842,49.5,130.22,61.5,0.49,43
61312,27.5,3.08,12.0,0.21,14
63873,11.0,4.44,8.0,0.57,7
63880,8.0,0.0,3.0,0.0,4
63886,11.0,9.58,8.0,0.9,20
63942,12.0,0.0,11.0,0.0,1
63944,67.0,1.56,19.0,0.05,21
63946,9.0,0.82,5.0,0.12,8
62532,51.5,61.46,45.0,0.27,113
63948,14.0,4.1112,15.0,0.1,30
30336,24.5,57.06,26.0,0.23,66
38741,123.5,15.68,100.0,0.5,20
64053,17.0,1.04,3.0,0.32,22
64073,29.0,56.32,41.0,0.35,68
64106,53.0,33.02,44.0,0.09,55
64201,38.5,0.16,47.0,0.17,6
64205,2.0,0.0,1.0,0.0,2
64209,49.5,46.64,144.15,0.52,29
64234,25.5,29.96,22.5,0.27,33
49208,725.05,25.0,629.83,0.19,31
62829,16.5,0.0,15.0,0.0,10
64311,4.0,0.0,6.5,0.0,11
64328,5.0,0.0,3.0,0.0,6
63771,6.0,0.0,2.0,0.0,3
64369,29.0,22.38,45.0,0.27,86
64439,11.5,0.0,4.0,0.0,21
49224,13.0,9.58,11.0,0.67,3
64510,5.0,1.04,6.0,0.75,4
64548,9.5,10.588,7.0,0.31,26
64589,12.5,1.04,10.0,0.33,15
64641,106.0,0.0,50.0,0.0,1
